date,price
2022-01-03,1820.54
2022-01-04,1827.20
2022-01-05,1815.63
2022-01-06,1796.89
2022-01-07,1797.36
2022-01-10,1806.73
2022-01-11,1818.42
2022-01-12,1823.08
2022-01-13,1817.26
2022-01-14,1816.29
2022-01-18,1812.57
2022-01-19,1841.54
2022-01-20,1831.89
2022-01-21,1834.53
2022-01-24,1840.79
2022-01-25,1849.91
2022-01-26,1795.50
2022-01-27,1788.07
2022-01-28,1786.63
2022-01-31,1797.35
2022-02-01,1803.47
2022-02-02,1805.54
2022-02-03,1806.28
2022-02-04,1808.64
2022-02-07,1819.79
2022-02-08,1826.26
2022-02-09,1838.07
2022-02-10,1860.77
2022-02-11,1858.56
2022-02-14,1864.41
2022-02-15,1854.60
2022-02-16,1854.24
2022-02-17,1898.81
2022-02-18,1900.08
2022-02-22,1906.59
2022-02-23,1908.80
2022-02-24,1973.07
2022-02-25,1968.94
2022-02-28,1974.73
2022-03-01,1944.97
2022-03-02,1934.52
2022-03-03,1972.39
2022-03-04,1970.49
2022-03-07,2006.43
2022-03-08,2041.84
2022-03-09,2002.64
2022-03-10,1995.20
2022-03-11,1984.39
2022-03-14,1958.90
2022-03-15,1929.56
2022-03-16,1921.10
2022-03-17,1938.52
2022-03-18,1921.17
2022-03-21,1922.24
2022-03-22,1921.04
2022-03-23,1955.17
2022-03-24,1958.43
2022-03-25,1956.10
2022-03-28,1960.72
2022-03-29,1943.28
2022-03-30,1947.63
2022-03-31,1954.40
2022-04-01,1926.41
2022-04-04,1934.35
2022-04-05,1922.76
2022-04-06,1919.05
2022-04-07,1929.37
2022-04-08,1947.63
2022-04-11,1955.44
2022-04-12,1974.64
2022-04-13,1978.05
2022-04-14,1976.00
2022-04-18,1986.07
2022-04-19,1998.70
2022-04-20,1985.46
2022-04-21,1933.00
2022-04-22,1933.73
2022-04-25,1900.35
2022-04-26,1896.25
2022-04-27,1896.25
2022-04-28,1897.40
2022-05-02,1870.83
2022-05-03,1869.25
2022-05-04,1877.12
2022-05-05,1882.58
2022-05-06,1876.10
2022-05-09,1854.70
2022-05-10,1835.46
2022-05-11,1822.50
2022-05-12,1808.16
2022-05-13,1807.82
2022-05-16,1814.43
2022-05-17,1820.55
2022-05-18,1814.59
2022-05-19,1840.36
2022-05-20,1843.14
2022-05-23,1853.43
2022-05-24,1854.55
2022-05-25,1851.16
2022-05-26,1854.28
2022-05-27,1851.29
2022-05-31,1848.31
2022-06-01,1856.62
2022-06-02,1851.32
2022-06-03,1850.85
2022-06-06,1854.26
2022-06-07,1845.72
2022-06-08,1851.90
2022-06-09,1872.62
2022-06-10,1873.58
2022-06-13,1820.32
2022-06-14,1818.02
2022-06-15,1826.23
2022-06-16,1840.02
2022-06-17,1839.35
2022-06-21,1837.85
2022-06-22,1834.35
2022-06-23,1828.00
2022-06-24,1822.60
2022-06-27,1831.16
2022-06-28,1818.99
2022-06-29,1818.22
2022-06-30,1807.28
